"product1","product2","combo_freq","profreq1","profreq2","support","cof1_2","conf2_1","lift"
"bottled water","med milk",57,908,1042,0.38,5.47024952015355,6.277533039647578,0.9013862700499716741216399734201940234093
"domestic eggs","small milk",56,555,1317,0.37,4.25208807896735,10.09009009009009,1.1463016547299007424303842549586800800163
"brown bread","soda",56,563,1824,0.37,3.070175438596491,9.946714031971581,0.8159141192234582898863769202925432475461
"fruit/vegetable juice","other vegetables",56,509,2254,0.37,2.484472049689441,11.00196463654224,0.7303078744096938332752861698588765804369
"citrus fruit","root vegetables",56,796,1408,0.37,3.977272727272727,7.035175879396985,0.7475873686614892639207387953628524724682
"berries","other vegetables",55,326,2254,0.37,2.440106477373558,16.87116564417178,1.1199040832657416138007958650262713098292
"other vegetables","sauces",55,2254,442,0.37,12.44343891402715,2.440106477373558,0.8259926043996193805256037438943084171181
"sauces","soda",55,442,1824,0.37,3.0153508771929824,12.44343891402715,1.0207167381122489493782648092900879286423
"newspapers","root vegetables",55,582,1408,0.37,3.90625,9.450171821305842,1.0042149914089347089104195503360317456324
"pip fruit","root vegetables",55,734,1408,0.37,3.90625,7.493188010899182,0.7962576634877384204657923452240330986819
"chocolate","rolls/buns",54,353,2001,0.36,2.6986506746626686,15.29745042492918,1.1438303511133951439994043144289759612699
"domestic eggs","root vegetables",54,555,1408,0.36,3.835227272727273,9.72972972972973,1.0339219901719901723117537980797468089855
"herbs","sausage",54,550,1362,0.36,3.9647577092511015,9.818181818181818,1.0785582699239086908604154188591120451168
"butter","rolls/buns",54,527,2001,0.36,2.6986506746626686,10.246679316888045,0.7661709941992950396707414794935410014172
"med milk","shopping bags",54,1042,874,0.36,6.178489702517163,5.182341650671785,0.8871647114113415060951107648090993547492
"canned beer","small milk",54,702,1317,0.36,4.100227790432802,7.6923076923076925,0.8738975527130424628405241461357044412649
"coffee","soda",54,474,1824,0.36,2.9605263157894735,11.39240506329114,0.9345019986675549636945129031704392398146
"bottled water","tropical fruit",53,908,1014,0.35,5.226824457593689,5.8370044052863435,0.8612747525827837584364960449589427842130
"pork","root vegetables",53,651,1408,0.35,3.7642045454545454,8.141321044546851,0.8651310047479402316298104051066150207730
"salad dressing","soda",53,403,1824,0.35,2.905701754385965,13.151364764267989,1.0787868399286056330186937337726857939599
"pip fruit","sausage",52,734,1362,0.35,3.81791483113069,7.084468664850137,0.7782512493648145249643990418371930175559
"butter","yogurt",52,527,1647,0.35,3.1572556162720096,9.867172675521822,0.8963730271472829089248895753099529594744
"root vegetables","whipped/sour cream",52,1408,654,0.35,7.951070336391437,3.6931818181818183,0.8449141645815957732846814296758269071847
"curd","soda",52,503,1824,0.35,2.850877192982456,10.337972166998012,0.8480084405845627977914275400535084620829
"large milk","root vegetables",52,769,1408,0.35,3.6931818181818183,6.762028608582575,0.7185615912046341166720209315839791547656
"bottled water","small milk",52,908,1317,0.35,3.9483675018982534,5.726872246696035,0.6506109533414280881050439853220118987561
"curd","rolls/buns",52,503,2001,0.35,2.598700649675162,10.337972166998012,0.7729971992135145143063725897886419969624
"pork","sausage",51,651,1362,0.34,3.7444933920704844,7.834101382488479,0.8606007700792410195774773599238596821988
"pork","small milk",51,651,1317,0.34,3.8724373576309796,7.834101382488479,0.8900062633621308038247884091157052969761
"coffee","other vegetables",51,474,2254,0.34,2.2626441881100265,10.759493670886076,0.7142127076477261247592900677780567963538
"frozen vegetables","rolls/buns",51,419,2001,0.34,2.548725637181409,12.17183770883055,0.9101201189381442940299016846204108125237
"coffee","rolls/buns",50,474,2001,0.33,2.498750624687656,10.548523206751055,0.7887406507716605833846162864119973055184
"newspapers","soda",50,582,1824,0.33,2.7412280701754383,8.59106529209622,0.7047122746729366372554374907982225030078
"sausage","shopping bags",50,1362,874,0.33,5.720823798627003,3.671071953010279,0.6284505556171601194220268292012396243313
"fruit/vegetable juice","soda",50,509,1824,0.33,2.7412280701754383,9.823182711198427,0.8057810291938096716906410555751803469684
"frozen vegetables","root vegetables",50,419,1408,0.33,3.5511363636363638,11.933174224343675,1.2680692666522022135559550627244821895125
"canned beer","root vegetables",50,702,1408,0.33,3.5511363636363638,7.122507122507122,0.7568675537425537428011850011439993036879
"citrus fruit","italian sausage",50,796,946,0.33,5.2854122621564485,6.281407035175879,0.9934715862611153020715338765167374421395
"small milk","whipped/sour cream",50,1317,654,0.33,7.64525993883792,3.7965072133637054,0.8685526135527180439280750276648465955662
"domestic eggs","yogurt",49,555,1647,0.33,2.9751062537947783,8.82882882882883,0.8020457616086031382081550349673049099495
"chicken","soda",49,512,1824,0.33,2.68640350877193,9.5703125,0.7850384628563596487090010970025548350950
"margarine","rolls/buns",49,482,2001,0.33,2.448775612193903,10.16597510373444,0.7601365292457505682414733425679139575842
"rolls/buns","sauces",48,2001,442,0.32,10.85972850678733,2.39880059970015,0.8120102844505349125038421538837964422510
"bottled beer","italian sausage",47,773,946,0.31,4.968287526427061,6.0802069857697285,0.9616496503286117906186493694647976315696
"sausage","whipped/sour cream",47,1362,654,0.31,7.186544342507645,3.450807635829662,0.7894645848208471988253686709887461821241
"citrus fruit","med milk",47,796,1042,0.31,4.5105566218809985,5.9045226130653266,0.8478259821178830823527991041628609332724
"butter","root vegetables",47,527,1408,0.31,3.3380681818181817,8.918406072106261,0.9477073270657236511021755543329403607033
"root vegetables","sauces",47,1408,442,0.31,10.633484162895927,3.3380681818181817,1.1299587361168243533359186571244811524414
"fruit/vegetable juice","yogurt",47,509,1647,0.31,2.853673345476624,9.233791748526523,0.8388341963658398978201475342233627528333
"shopping bags","tropical fruit",46,874,1014,0.31,4.536489151873767,5.263157894736842,0.7766012664798089901017795913476489361784
"bottled beer","med milk",46,773,1042,0.31,4.414587332053743,5.950840879689522,0.8544767873504281995508935759610725886968
"med milk","pastry",46,1042,774,0.31,5.943152454780361,4.414587332053743,0.8533728121729728659164209957488153845528
"beef","yogurt",46,508,1647,0.31,2.792956891317547,9.05511811023622,0.8226027757459279340242066689578948349806
"butter","sausage",46,527,1362,0.31,3.3773861967694567,8.72865275142315,0.9588700621644138685910129856577272070801
"domestic eggs","soda",46,555,1824,0.31,2.5219298245614032,8.288288288288289,0.6798759285601390865012657362690421199029
"bottled beer","bottled water",46,773,908,0.31,5.066079295154185,5.950840879689522,0.9805779872457557091936131691388865181594
"citrus fruit","sausage",45,796,1362,0.30,3.303964757709251,5.653266331658291,0.6210291545834901375438333508016847529356
"domestic eggs","sausage",45,555,1362,0.30,3.303964757709251,8.108108108108109,0.8907012739611858547542784774113099858443
"cereals","large milk",45,438,769,0.30,5.851755526657997,10.273972602739725,1.9989489997684236763741345435340452865799
"rolls/buns","salad dressing",45,2001,403,0.30,11.166253101736972,2.2488755622188905,0.8349299295761548501437674348836988119074
"chicken","yogurt",45,512,1647,0.30,2.73224043715847,8.7890625,0.7984332308743169393352267084438086246602
"bottled beer","tropical fruit",44,773,1014,0.29,4.339250493096647,5.692108667529108,0.8398947720273225286306240136828790358066
"brown bread","yogurt",44,563,1647,0.29,2.671523982999393,7.8152753108348145,0.7099705476667302939077090002597648799009
"curd","yogurt",44,503,1647,0.29,2.671523982999393,8.747514910536779,0.7946588833725032911391820153702036081398
"herbs","root vegetables",44,550,1408,0.29,3.125,8,0.8501136363636363622585617640108471074593
"margarine","soda",44,482,1824,0.29,2.4122807017543857,9.12863070539419,0.7488079638931353266857700223398822213434
"margarine","sausage",44,482,1362,0.29,3.2305433186490458,9.12863070539419,1.0028089031872825520453030088430875621804
"beef","soda",44,508,1824,0.29,2.4122807017543857,8.661417322834646,0.7104831468434866682758947239859411236424
"other vegetables","white bread",44,2254,359,0.29,12.256267409470752,1.9520851818988465,0.8135682031078145184759775899817557233356
"italian sausage","tropical fruit",44,946,1014,0.29,4.339250493096647,4.651162790697675,0.6862987936333195714451420316137063222200
"beef","root vegetables",44,508,1408,0.29,3.125,8.661417322834646,0.9203986220472440929954885953100208757483
"bottled beer","shopping bags",43,773,874,0.29,4.919908466819222,5.5627425614489,0.9522855172127968843433006670532803431111
"bottled water","large milk",43,908,769,0.29,5.591677503250976,4.73568281938326,0.9213951410092631321456233121108264624742
"canned beer","italian sausage",43,702,946,0.29,4.545454545454546,6.1253561253561255,0.9687904687904687914042567115099836470142
"chocolate","other vegetables",43,353,2254,0.29,1.9077196095829636,12.181303116147308,0.8085920906113399917081993893467319045903
"bottled water","shopping bags",43,908,874,0.29,4.919908466819222,4.73568281938326,0.8107012167461365545621699791793723994024
"italian sausage","pip fruit",43,946,734,0.29,5.858310626702997,4.545454545454546,0.9265543720584592527412447012794833096934
"bottled water","pastry",43,908,774,0.29,5.555555555555555,4.73568281938326,0.9154429760156632412337446188130840605979
"citrus fruit","tropical fruit",43,796,1014,0.29,4.240631163708087,5.402010050251256,0.7970894908467386249311751807306065234587
"curd","small milk",43,503,1317,0.29,3.264996203492786,8.548707753479125,0.9711903220011744274410656233859503506762
"canned beer","shopping bags",43,702,874,0.29,4.919908466819222,6.1253561253561255,1.0485992945947179366691726345248833400953
"coffee","yogurt",43,474,1647,0.29,2.610807528840316,9.071729957805907,0.8241118617406920658529893218109198208215
"napkins","other vegetables",43,331,2254,0.29,1.9077196095829636,12.990936555891238,0.8623353715583172724098480511873092298160
"other vegetables","salty snack",42,2254,281,0.28,14.94661921708185,1.8633540372670807,0.9921531354302513209487018812760558503539
"pastry","tropical fruit",42,774,1014,0.28,4.142011834319527,5.426356589147287,0.8006819259055395013299185543094067091360
"cream cheese ","other vegetables",42,354,2254,0.28,1.8633540372670807,11.864406779661017,0.7875565849036740710739177435786388401382
"frozen vegetables","sausage",42,419,1362,0.28,3.0837004405286343,10.023866348448687,1.1011533649448550672530145243663224476717
"frozen vegetables","yogurt",41,419,1647,0.27,2.4893746205221614,9.785202863961814,0.8889265649702286496145022654887987257181
"dessert","other vegetables",41,353,2254,0.27,1.8189884649511978,11.614730878186968,0.7709831561643009208869450807346550459430
"other vegetables","waffles",41,2254,277,0.27,14.801444043321299,1.8189884649511978,0.9825164408880802353493778022589448009633
"cereals","root vegetables",41,438,1408,0.27,2.911931818181818,9.360730593607306,0.9947105904939809040976176447211079144546
"large milk","tropical fruit",41,769,1014,0.27,4.043392504930966,5.331599479843954,0.7867001125978819279062019882950216035938
"frozen vegetables","soda",41,419,1824,0.27,2.2478070175438596,9.785202863961814,0.8026655989616044878639787676789493881781
"newspapers","sausage",41,582,1362,0.27,3.010279001468429,7.0446735395189,0.7738796292091173776143983112773574738177
"margarine","yogurt",41,482,1647,0.27,2.4893746205221614,8.506224066390041,0.7727390678890576849089520626129702702506
"coffee","italian sausage",41,474,946,0.27,4.334038054968287,8.649789029535865,1.3680564847771206309503555817578938057141
"italian sausage","large milk",40,946,769,0.27,5.201560468140442,4.2283298097251585,0.8226823226672018533076751227124929192670
"chocolate","soda",40,353,1824,0.27,2.1929824561403506,11.3314447592068,0.9295015158292331409923312045825726371823
"beef","small milk",40,508,1317,0.27,3.037205770690964,7.874015748031496,0.8945408019897285064693154341534112574599
"beef","rolls/buns",40,508,2001,0.27,1.999000499750125,7.874015748031496,0.5887607377413655387327517098074545039625
"sauces","yogurt",40,442,1647,0.27,2.428658166363084,9.049773755656108,0.8221172734191056289660465933665751948096
"coffee","sausage",40,474,1362,0.27,2.936857562408223,8.438818565400844,0.9270308617880134095577038276169072721311
"fruit/vegetable juice","med milk",40,509,1042,0.27,3.8387715930902107,7.858546168958743,1.1284027618038455611120262314148830015610
"coffee","root vegetables",40,474,1408,0.27,2.840909090909091,8.438818565400844,0.8967443421557345623649920581243625346853
"chicken","root vegetables",39,512,1408,0.26,2.7698863636363638,7.6171875,0.8094343705610795461067458130111379071508
"frozen meals","other vegetables",39,251,2254,0.26,1.730257320319432,15.53784860557769,1.0313988058414081042088372497359608295734
"italian sausage","margarine",39,946,482,0.26,8.091286307053942,4.12262156448203,1.2797233163439860352181534590875026283566
"margarine","small milk",39,482,1317,0.26,2.9612756264236904,8.091286307053942,0.9192241892645488149435143757483470352002
"rolls/buns","white bread",39,2001,359,0.26,10.86350974930362,1.9490254872563717,0.8122930178364856575371620438643351370624
"brown bread","sausage",39,563,1362,0.26,2.8634361233480177,6.927175843694494,0.7609721363682600300139545603400116494018
"bottled water","citrus fruit",39,908,796,0.26,4.899497487437186,4.295154185022026,0.8073379009585371800458951174926141047394
"newspapers","shopping bags",39,582,874,0.26,4.462242562929062,6.701030927835052,1.1471490245110759875141908782591357312859
"rolls/buns","salty snack",38,2001,281,0.25,13.523131672597867,1.899050474762619,1.0111599004768078594244605632160214119459
"canned beer","tropical fruit",38,702,1014,0.25,3.7475345167652856,5.413105413105413,0.7987266586872109553695740060946521798497
"fruit/vegetable juice","root vegetables",38,509,1408,0.25,2.6988636363636362,7.465618860510806,0.7933280496517235218457024328718482626544
"salad dressing","sausage",38,403,1362,0.25,2.7900146842878124,9.429280397022332,1.0358362210003534431537401433591051217827
"chocolate","yogurt",38,353,1647,0.25,2.30722525804493,10.764872521246458,0.9779236348687888182131040047088947108214
